# Token_IPA	Token_rus	Token_orth	POS	NoOfSyllabels
aq'al	ум	акьал	noun	2
araba	телега, арба	араба	noun	3
ats'ɨra	наполняется	ац1ыр а	verb	3
baba	дедушка	баба	noun	2
baq'aq'aj	клещ	бакьакьый	noun	3
barmak	шапка	бармак	noun	2
bɨga	завтра	быга	adverb	2
buba	тетя	буба	noun	2
c'apatʃer	азербайджанцы	ц1апачер	noun	3
dadal	петух	дадал	noun	2
dam	лес	дам	noun	1
dzɨr	медь	дзыр	noun	1
dʒagʷardɨ	белый	джагварды	adj	3
gada	парень, мальчик	гада	noun	2
gagaj	дядя	гагай	noun	2
ganin	теща	ганин	noun	2
gap	хлопать	гап	inter	1
gardan	горлышко	гардан	noun	2
gitʃ'erɨ	боюсь	гич1еры	verb	3
gɨʃi	голодный	гыши	adj	2
gʲaɢara	смотрит	гакъара	verb	3
ɢabaχ	тыква	къабах	noun	2
ɢadam	шаг	къадам	noun	2
ɢap	навес	къап	noun	1
ɢapan	весы	къапан	noun	2
ɢapaʁ	крышка	къапагъ	noun	2
ɢarg	баран	къарг	noun	1
ɢari	жена	къари	noun	2
ɢatar	пояс для патронов	къатар	noun	2
ɢatʃ	бровь	къач	noun	1
ɢow	крыша, потолок, козырек	къав	noun	1
ɢutʃaR	герой	къуччагъ	noun	2
ɢaˤraˤɢaˤl	сорока	къа1ра1къа1л	noun	3
hadʒagur	не видно	гьаджагур	verb	3
haka	дай	гьака	verb	2
haqagura	снова увидеть, найти	гьахъагур а	verb	4
hats'ara	знает	гьац1ара	verb	3
k'abal	группа людей	к1абал	noun	2
k'ak'al	кусок, мелкий камень	к1ак1ал	noun	2
k'ar	скалка, палка	к1ар	noun	1
k'uk'ʷal	тряпка, кусок	к1ук1вал	noun	2
kadʒarer	азербайджанцы	каджарер	noun	3
kar	штука	кар	noun	1
kat'i	стог	кат1и	noun	2
katʃ	рог	кач	noun	1
katʃal	лысый	качал	adj	2
lagan	тазик	лаган	noun	2
lɨt'a	рисунок	лыт1а	noun	2
madʒel	время (найти время, нет времени)	маджел	noun	2
maq'am	танец, музыка	макьам	noun	2
maˤqaˤq	перо	ма1хъа1хъ	noun	2
mɨtʃ'aqa	темнота	мыч1ахъа	noun	3
p'aq'	(хруст, звук)	п1акь	inter	1
p'ɨz	губа	п1ыз	noun	1
paq'ʷaˤl	лопух	пакьва1ль	noun	2
paʃmaldi	грустный	пашмал и	adj	3
q'ak	шапка (2)	кьак	noun	1
q'ak'arak'	глотка	кьак1арак1	noun	3
q'an	дно	кьан	noun	1
q'ats'a	на подбородке	кьац1a	noun	2
q'atʃ	стручок (также воск, кочерыжка)	кьач	noun	1
q'aс	дыра	кьа1ч	noun	1
q'aˤtʃ'	щель	кьа1ч1	noun	1
ɢatɢataj	складки в желудке коровы	къаткъатай	noun	3
qatsa	послушай	хъаца	verb	2
ɢatʃaχ	разбойник, бандит	къачах	noun	2
qaˤdʲ	ворона	хъа1дь	noun	1
qaχas	бежать (убежал)	хъахас	verb	2
rapara	сверкает	рапара	verb	3
sakaldɨ	одинаковый	сакалды	adj	3
sata	оставь	сата	verb	2
sit'aʔ	завяжи, собери	сыт1аъ 	verb	2
sɨlabɨr	зубы	сылабыр	noun	3
t'alqɨr	грязный	т1алхъыр	adj	2
t'at'al	палка, дубина	т1ат1ал	noun	2
t'ɨtʃ	букет	т1ыч	noun	1
taj	тюк	тай	noun	1
tants'ai	бешеный	танц1а и	adj	3
tarakamɨr	азербайджанцы	таракамыр	noun	4
ts'aj	огонь	ц1ай	noun	1
tsartsar	кувшин глиняный	царцар	noun	2
tsɨgan	цыган	циган	noun	2
tʃ'abal	овца	ч1абал	noun	2
tʃ'ar	волос	ч1ар	noun	1
tʃ'atʃ'aXaj	шапка	ч1ач1ахый	noun	3
tʃ'ank'	капкан	ч1анк1	noun	1
tʃ'aq'ɨˤn	шаг	ч1акьы1н	noun	2
tʃap'aˤliʃid	грязный	чап1а1лишид	adj	4
tʃapar	ограда (пятерня, лапа)	чапар	noun	2
tʃar	болезнь у скота	чар	noun	1
tʃaxtʃax	калитка	чахчах	noun	2
k'amtʃ'al	коса женская	к1амч1ал	noun	0
tʃaχɨr	вино	чахыр	noun	2
χaq'as	держать	хакьас	verb	2
ɢaratʃi	цыган	къарачи	noun	3
baʁaldɨ	бешеный	багъалды	adj	3
bɨrʒ	долг	бырдж	noun	1
maˤq'aˤq'aˤl	клещ	ма1кьа1кьа1л	noun	3
maɢʷal	крапива	макъвал	noun	2
ɢanat	крыло	къанат	noun	2
pat'al	кучка	пат1ал	noun	2
k'ɨk'al	лепешка из кукурузной муки	к1ык1ал	noun	2
tʃ'alag	лес	ч1алаг	noun	2
aq'aq'ar	липа, дерево для свистков	акьакьар	noun	3
muˤq'ʷaˤq'aˤl	метлодерево	му1кьва1кьа1л	noun	3
k'ats'a	на улицу	к1ац1а	none	2
xebɨr	ногти	хьебыр	noun	2
tamate	плинтус	тамате	noun	3
ɢabɨr	посуда	къабыр	noun	2
kikadɨ	похожий	кикады	adj	3
lɨt'ɨn	протечка в потолке	лыт1ын	noun	2
taʃq'a	тачка	т1ашкьа	noun	2
