# Sound	Manner	Place	Type
б	plosive	labial	voiced
п	plosive	labial	voiceless
в	sonorant	labial	voiced
г	plosive	velar	voiced
к	plosive	velar	voiceless
к1	plosive	velar	ejective
д	plosive	dentalv	voiced
т	plosive	dentalv	voiceless
т1	plosive	dentalv	ejective
кь	plosive	uvular	ejective
къ	plosive	uvular	voiced
н	sonorant	dentalv	voiced
м	sonorant	labial	voiced
л	sonorant	dentalv	voiced
р	sonorant	dentalv	voiced
ц	affricate	dentalv	voiceless
ц1	affricate	dentalv	ejective
ч	affricate	dentalv	voiceless
ч1	affricate	dentalv	ejective
ш	fricative	dentalv	voiceless
дж	fricative	dentalv	voiced
гь	fricative	uvular	voiceless
х	fricative	uvular	voiceless
хъ	plosive	uvular	voiceless
з	fricative	dentalv	voiced
с	fricative	dentalv	voiceless
й	sonorant	palatal	voiced
дж	affricate	dentalv	voiced
дз	affricate	dentalv	voiced
